onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0006	2.0	neutral	female	NorthEuropean	F01
12.0016	2.0	neutral	female	NorthEuropean	F01
19.0026	2.0	neutral	female	NorthEuropean	F01
26.0136	2.0	joy	female	Mediterranean	F06
33.0146	2.0	anger	female	NorthEuropean	F01
40.0156	2.0	contempt	female	Mediterranean	F06
47.0166	2.0	anger	female	Mediterranean	F06
54.0176	2.0	anger	female	NorthEuropean	F03
61.0186	2.0	joy	female	Mediterranean	F09
68.0196	2.0	pride	female	NorthEuropean	F02
75.0206	2.0	anger	female	Mediterranean	F09
82.0216	2.0	pride	female	Mediterranean	F06
89.0226	2.0	pride	female	NorthEuropean	F04
96.0236	2.0	contempt	female	NorthEuropean	F02
103.0246	2.0	joy	female	NorthEuropean	F04
110.0256	2.0	anger	female	NorthEuropean	F04
117.0266	2.0	neutral	female	Mediterranean	F06
124.0276	2.0	contempt	female	NorthEuropean	F01
131.0286	2.0	neutral	female	NorthEuropean	F03
138.0296	2.0	joy	female	NorthEuropean	F02
145.0306	2.0	pride	female	NorthEuropean	F01
152.0316	2.0	pride	female	NorthEuropean	F03
159.0326	2.0	joy	female	NorthEuropean	F01
166.0336	2.0	contempt	female	NorthEuropean	F04
173.0346	2.0	contempt	female	NorthEuropean	F03
180.0356	2.0	neutral	female	NorthEuropean	F01
187.0366	2.0	neutral	female	NorthEuropean	F02
194.0376	2.0	neutral	female	Mediterranean	F09
201.0386	2.0	joy	female	NorthEuropean	F03
208.0396	2.0	neutral	female	NorthEuropean	F04
215.0406	2.0	pride	female	Mediterranean	F09
222.0416	2.0	anger	female	NorthEuropean	F02
229.0426	2.0	contempt	female	Mediterranean	F09
