onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0009	2.0	pride	female	NorthEuropean	F01
12.0019	2.0	pride	female	NorthEuropean	F01
19.0029	2.0	pride	female	NorthEuropean	F01
26.0129	2.0	anger	female	NorthEuropean	F02
33.0139	2.0	pride	female	NorthEuropean	F04
40.0149	2.0	anger	female	NorthEuropean	F01
47.0159	2.0	contempt	female	Mediterranean	F09
54.0169	2.0	pride	female	Mediterranean	F09
61.0179	2.0	anger	female	Mediterranean	F09
68.0189	2.0	joy	female	NorthEuropean	F02
75.0199	2.0	anger	female	NorthEuropean	F04
82.0209	2.0	contempt	female	NorthEuropean	F01
89.0219	2.0	pride	female	Mediterranean	F06
96.0229	2.0	pride	female	NorthEuropean	F02
103.0239	2.0	contempt	female	Mediterranean	F06
110.0249	2.0	neutral	female	NorthEuropean	F04
117.0259	2.0	joy	female	NorthEuropean	F03
124.0269	2.0	neutral	female	Mediterranean	F06
131.0279	2.0	contempt	female	NorthEuropean	F04
138.0289	2.0	pride	female	NorthEuropean	F01
145.0299	2.0	joy	female	Mediterranean	F06
152.0309	2.0	neutral	female	NorthEuropean	F03
159.0319	2.0	contempt	female	NorthEuropean	F02
166.0329	2.0	anger	female	Mediterranean	F06
173.0339	2.0	anger	female	NorthEuropean	F03
180.0349	2.0	contempt	female	NorthEuropean	F03
187.0359	2.0	neutral	female	Mediterranean	F09
194.0369	2.0	neutral	female	NorthEuropean	F01
201.0379	2.0	pride	female	NorthEuropean	F03
208.0389	2.0	joy	female	NorthEuropean	F01
215.0399	2.0	joy	female	Mediterranean	F09
222.0409	2.0	neutral	female	NorthEuropean	F02
229.0419	2.0	joy	female	NorthEuropean	F04
