onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0009	2.0	anger	female	NorthEuropean	F01
12.0019	2.0	anger	female	NorthEuropean	F01
19.0029	2.0	anger	female	NorthEuropean	F01
26.0109	2.0	anger	female	Mediterranean	F06
33.0119	2.0	joy	female	NorthEuropean	F02
40.0129	2.0	neutral	female	NorthEuropean	F04
47.0139	2.0	pride	female	Mediterranean	F06
54.0149	2.0	contempt	female	NorthEuropean	F04
61.0159	2.0	joy	female	Mediterranean	F09
68.0169	2.0	contempt	female	Mediterranean	F06
75.0179	2.0	contempt	female	Mediterranean	F09
82.0189	2.0	pride	female	Mediterranean	F09
89.0199	2.0	neutral	female	Mediterranean	F09
96.0209	2.0	joy	female	NorthEuropean	F04
103.0219	2.0	pride	female	NorthEuropean	F02
110.0229	2.0	pride	female	NorthEuropean	F04
117.0239	2.0	neutral	female	Mediterranean	F06
124.0249	2.0	anger	female	NorthEuropean	F01
131.0259	2.0	pride	female	NorthEuropean	F01
138.0269	2.0	anger	female	Mediterranean	F09
145.0279	2.0	neutral	female	NorthEuropean	F03
152.0289	2.0	joy	female	NorthEuropean	F03
159.0299	2.0	contempt	female	NorthEuropean	F03
166.0309	2.0	pride	female	NorthEuropean	F03
173.0319	2.0	joy	female	NorthEuropean	F01
180.0329	2.0	anger	female	NorthEuropean	F02
187.0339	2.0	neutral	female	NorthEuropean	F01
194.0349	2.0	anger	female	NorthEuropean	F03
201.0359	2.0	anger	female	NorthEuropean	F04
208.0369	2.0	joy	female	Mediterranean	F06
215.0379	2.0	neutral	female	NorthEuropean	F02
222.0389	2.0	contempt	female	NorthEuropean	F02
229.0399	2.0	contempt	female	NorthEuropean	F01
