onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0003	2.0	neutral	female	NorthEuropean	F01
12.0013	2.0	neutral	female	NorthEuropean	F01
19.0023	2.0	neutral	female	NorthEuropean	F01
26.0113	2.0	anger	female	Mediterranean	F06
33.0123	2.0	pride	female	NorthEuropean	F03
40.0133	2.0	pride	female	Mediterranean	F06
47.0143	2.0	neutral	female	NorthEuropean	F04
54.0153	2.0	contempt	female	NorthEuropean	F02
61.0163	2.0	joy	female	NorthEuropean	F01
68.0173	2.0	joy	female	NorthEuropean	F03
75.0183	2.0	contempt	female	NorthEuropean	F04
82.0193	2.0	anger	female	NorthEuropean	F02
89.0203	2.0	joy	female	NorthEuropean	F02
96.0213	2.0	neutral	female	NorthEuropean	F02
103.0223	2.0	pride	female	NorthEuropean	F02
110.0233	2.0	joy	female	Mediterranean	F06
117.0243	2.0	pride	female	NorthEuropean	F01
124.0253	2.0	neutral	female	NorthEuropean	F03
131.0263	2.0	anger	female	NorthEuropean	F04
138.0273	2.0	pride	female	NorthEuropean	F04
145.0283	2.0	contempt	female	Mediterranean	F06
152.0293	2.0	pride	female	Mediterranean	F09
159.0303	2.0	contempt	female	Mediterranean	F09
166.0313	2.0	contempt	female	NorthEuropean	F01
173.0323	2.0	anger	female	Mediterranean	F09
180.0333	2.0	joy	female	NorthEuropean	F04
187.0343	2.0	neutral	female	Mediterranean	F09
194.0353	2.0	neutral	female	NorthEuropean	F01
201.0363	2.0	anger	female	NorthEuropean	F03
208.0373	2.0	anger	female	NorthEuropean	F01
215.0383	2.0	contempt	female	NorthEuropean	F03
222.0393	2.0	joy	female	Mediterranean	F09
229.0403	2.0	neutral	female	Mediterranean	F06
