onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0005	2.0	pride	female	NorthEuropean	F01
12.0015	2.0	pride	female	NorthEuropean	F01
19.0025	2.0	pride	female	NorthEuropean	F01
26.0125	2.0	pride	female	Mediterranean	F09
33.0135	2.0	anger	female	NorthEuropean	F01
40.0145	2.0	joy	female	Mediterranean	F06
47.0155	2.0	contempt	female	Mediterranean	F09
54.0165	2.0	joy	female	NorthEuropean	F01
61.0175	2.0	joy	female	NorthEuropean	F04
68.0185	2.0	neutral	female	NorthEuropean	F02
75.0195	2.0	pride	female	Mediterranean	F06
82.0205	2.0	anger	female	NorthEuropean	F02
89.0215	2.0	neutral	female	Mediterranean	F06
96.0225	2.0	joy	female	Mediterranean	F09
103.0235	2.0	contempt	female	Mediterranean	F06
110.0245	2.0	joy	female	NorthEuropean	F02
117.0255	2.0	contempt	female	NorthEuropean	F02
124.0265	2.0	contempt	female	NorthEuropean	F04
131.0275	2.0	pride	female	NorthEuropean	F03
138.0285	2.0	contempt	female	NorthEuropean	F03
145.0295	2.0	neutral	female	Mediterranean	F09
152.0305	2.0	contempt	female	NorthEuropean	F01
159.0315	2.0	neutral	female	NorthEuropean	F03
166.0325	2.0	neutral	female	NorthEuropean	F01
173.0335	2.0	anger	female	Mediterranean	F06
180.0345	2.0	joy	female	NorthEuropean	F03
187.0355	2.0	pride	female	NorthEuropean	F04
194.0365	2.0	pride	female	NorthEuropean	F02
201.0375	2.0	anger	female	Mediterranean	F09
208.0385	2.0	neutral	female	NorthEuropean	F04
215.0395	2.0	anger	female	NorthEuropean	F04
222.0405	2.0	anger	female	NorthEuropean	F03
229.0415	2.0	pride	female	NorthEuropean	F01
