onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0005	2.0	contempt	female	NorthEuropean	F01
12.0015	2.0	contempt	female	NorthEuropean	F01
19.0025	2.0	contempt	female	NorthEuropean	F01
26.0115	2.0	anger	female	NorthEuropean	F01
33.0125	2.0	neutral	female	Mediterranean	F09
40.0135	2.0	neutral	female	NorthEuropean	F03
47.0145	2.0	anger	female	NorthEuropean	F02
54.0155	2.0	joy	female	Mediterranean	F09
61.0165	2.0	anger	female	NorthEuropean	F03
68.0175	2.0	pride	female	NorthEuropean	F01
75.0185	2.0	joy	female	NorthEuropean	F03
82.0195	2.0	contempt	female	NorthEuropean	F01
89.0205	2.0	pride	female	NorthEuropean	F04
96.0215	2.0	anger	female	NorthEuropean	F04
103.0225	2.0	anger	female	Mediterranean	F09
110.0235	2.0	joy	female	NorthEuropean	F04
117.0245	2.0	neutral	female	Mediterranean	F06
124.0255	2.0	contempt	female	NorthEuropean	F02
131.0265	2.0	pride	female	NorthEuropean	F03
138.0275	2.0	pride	female	Mediterranean	F09
145.0285	2.0	neutral	female	NorthEuropean	F04
152.0295	2.0	joy	female	NorthEuropean	F02
159.0305	2.0	contempt	female	Mediterranean	F09
166.0315	2.0	contempt	female	Mediterranean	F06
173.0325	2.0	contempt	female	NorthEuropean	F04
180.0335	2.0	pride	female	Mediterranean	F06
187.0345	2.0	neutral	female	NorthEuropean	F02
194.0355	2.0	joy	female	Mediterranean	F06
201.0365	2.0	pride	female	NorthEuropean	F02
208.0375	2.0	contempt	female	NorthEuropean	F03
215.0385	2.0	anger	female	Mediterranean	F06
222.0395	2.0	neutral	female	NorthEuropean	F01
229.0405	2.0	joy	female	NorthEuropean	F01
