onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0009	2.0	joy	female	NorthEuropean	F01
12.0019	2.0	joy	female	NorthEuropean	F01
19.0029	2.0	joy	female	NorthEuropean	F01
26.0099	2.0	neutral	female	Mediterranean	F06
33.0109	2.0	pride	female	Mediterranean	F09
40.0119	2.0	anger	female	Mediterranean	F09
47.0129	2.0	contempt	female	NorthEuropean	F01
54.0139	2.0	joy	female	NorthEuropean	F04
61.0149	2.0	neutral	female	Mediterranean	F09
68.0159	2.0	neutral	female	NorthEuropean	F02
75.0169	2.0	neutral	female	NorthEuropean	F01
82.0179	2.0	contempt	female	Mediterranean	F06
89.0189	2.0	pride	female	NorthEuropean	F03
96.0199	2.0	pride	female	NorthEuropean	F04
103.0209	2.0	anger	female	NorthEuropean	F04
110.0219	2.0	joy	female	NorthEuropean	F01
117.0229	2.0	anger	female	Mediterranean	F06
124.0239	2.0	contempt	female	Mediterranean	F09
131.0249	2.0	joy	female	Mediterranean	F09
138.0259	2.0	anger	female	NorthEuropean	F03
145.0269	2.0	joy	female	NorthEuropean	F02
152.0279	2.0	pride	female	NorthEuropean	F02
159.0289	2.0	contempt	female	NorthEuropean	F02
166.0299	2.0	contempt	female	NorthEuropean	F03
173.0309	2.0	neutral	female	NorthEuropean	F03
180.0319	2.0	joy	female	Mediterranean	F06
187.0329	2.0	anger	female	NorthEuropean	F01
194.0339	2.0	pride	female	NorthEuropean	F01
201.0349	2.0	pride	female	Mediterranean	F06
208.0359	2.0	contempt	female	NorthEuropean	F04
215.0369	2.0	joy	female	NorthEuropean	F03
222.0379	2.0	neutral	female	NorthEuropean	F04
229.0389	2.0	anger	female	NorthEuropean	F02
