onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0011	2.0	pride	female	NorthEuropean	F01
12.0021	2.0	pride	female	NorthEuropean	F01
19.0031	2.0	pride	female	NorthEuropean	F01
26.0081	2.0	anger	female	Mediterranean	F06
33.0091	2.0	contempt	female	Mediterranean	F06
40.0101	2.0	joy	female	NorthEuropean	F01
47.0111	2.0	anger	female	NorthEuropean	F04
54.0121	2.0	joy	female	NorthEuropean	F03
61.0131	2.0	joy	female	NorthEuropean	F04
68.0141	2.0	neutral	female	NorthEuropean	F02
75.0151	2.0	pride	female	NorthEuropean	F03
82.0161	2.0	pride	female	NorthEuropean	F02
89.0171	2.0	anger	female	NorthEuropean	F03
96.0181	2.0	contempt	female	NorthEuropean	F01
103.0191	2.0	joy	female	NorthEuropean	F02
110.0201	2.0	neutral	female	Mediterranean	F09
117.0211	2.0	anger	female	Mediterranean	F09
124.0221	2.0	joy	female	Mediterranean	F09
131.0231	2.0	contempt	female	Mediterranean	F09
138.0241	2.0	anger	female	NorthEuropean	F01
145.0251	2.0	neutral	female	NorthEuropean	F03
152.0261	2.0	pride	female	Mediterranean	F06
159.0271	2.0	pride	female	NorthEuropean	F04
166.0281	2.0	neutral	female	NorthEuropean	F01
173.0291	2.0	anger	female	NorthEuropean	F02
180.0301	2.0	pride	female	Mediterranean	F09
187.0311	2.0	neutral	female	NorthEuropean	F04
194.0321	2.0	joy	female	Mediterranean	F06
201.0331	2.0	neutral	female	Mediterranean	F06
208.0341	2.0	contempt	female	NorthEuropean	F03
215.0351	2.0	contempt	female	NorthEuropean	F02
222.0361	2.0	contempt	female	NorthEuropean	F04
229.0371	2.0	pride	female	NorthEuropean	F01
