onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0002	2.0	anger	female	NorthEuropean	F01
12.0012	2.0	anger	female	NorthEuropean	F01
19.0022	2.0	anger	female	NorthEuropean	F01
26.0072	2.0	joy	female	NorthEuropean	F01
33.0082	2.0	joy	female	NorthEuropean	F03
40.0092	2.0	contempt	female	Mediterranean	F09
47.0102	2.0	anger	female	Mediterranean	F06
54.0112	2.0	pride	female	NorthEuropean	F03
61.0122	2.0	pride	female	NorthEuropean	F04
68.0132	2.0	pride	female	NorthEuropean	F02
75.0142	2.0	contempt	female	NorthEuropean	F01
82.0152	2.0	contempt	female	NorthEuropean	F02
89.0162	2.0	anger	female	NorthEuropean	F04
96.0172	2.0	pride	female	Mediterranean	F06
103.0182	2.0	neutral	female	NorthEuropean	F02
110.0192	2.0	anger	female	NorthEuropean	F01
117.0202	2.0	joy	female	NorthEuropean	F04
124.0212	2.0	anger	female	NorthEuropean	F03
131.0222	2.0	neutral	female	Mediterranean	F09
138.0232	2.0	pride	female	NorthEuropean	F01
145.0242	2.0	anger	female	NorthEuropean	F02
152.0252	2.0	neutral	female	Mediterranean	F06
159.0262	2.0	neutral	female	NorthEuropean	F01
166.0272	2.0	contempt	female	NorthEuropean	F04
173.0282	2.0	contempt	female	Mediterranean	F06
180.0292	2.0	neutral	female	NorthEuropean	F03
187.0302	2.0	joy	female	Mediterranean	F09
194.0312	2.0	joy	female	Mediterranean	F06
201.0322	2.0	pride	female	Mediterranean	F09
208.0332	2.0	neutral	female	NorthEuropean	F04
215.0342	2.0	anger	female	Mediterranean	F09
222.0352	2.0	contempt	female	NorthEuropean	F03
229.0362	2.0	joy	female	NorthEuropean	F02
