onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0003	2.0	anger	female	NorthEuropean	F01
12.0013	2.0	anger	female	NorthEuropean	F01
19.0023	2.0	anger	female	NorthEuropean	F01
26.0133	2.0	anger	female	NorthEuropean	F01
33.0143	2.0	neutral	female	NorthEuropean	F02
40.0153	2.0	joy	female	NorthEuropean	F02
47.0163	2.0	neutral	female	Mediterranean	F06
54.0173	2.0	pride	female	NorthEuropean	F01
61.0183	2.0	contempt	female	Mediterranean	F09
68.0193	2.0	contempt	female	Mediterranean	F06
75.0203	2.0	contempt	female	NorthEuropean	F04
82.0213	2.0	joy	female	NorthEuropean	F03
89.0223	2.0	pride	female	NorthEuropean	F03
96.0233	2.0	contempt	female	NorthEuropean	F02
103.0243	2.0	joy	female	NorthEuropean	F01
110.0253	2.0	pride	female	NorthEuropean	F04
117.0263	2.0	neutral	female	NorthEuropean	F01
124.0273	2.0	contempt	female	NorthEuropean	F03
131.0283	2.0	anger	female	Mediterranean	F06
138.0293	2.0	joy	female	Mediterranean	F09
145.0303	2.0	neutral	female	NorthEuropean	F04
152.0313	2.0	anger	female	NorthEuropean	F04
159.0323	2.0	pride	female	NorthEuropean	F02
166.0333	2.0	joy	female	NorthEuropean	F04
173.0343	2.0	anger	female	NorthEuropean	F03
180.0353	2.0	anger	female	Mediterranean	F09
187.0363	2.0	neutral	female	Mediterranean	F09
194.0373	2.0	pride	female	Mediterranean	F06
201.0383	2.0	anger	female	NorthEuropean	F02
208.0393	2.0	joy	female	Mediterranean	F06
215.0403	2.0	neutral	female	NorthEuropean	F03
222.0413	2.0	contempt	female	NorthEuropean	F01
229.0423	2.0	pride	female	Mediterranean	F09
