onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0007	2.0	contempt	female	NorthEuropean	F01
12.0017	2.0	contempt	female	NorthEuropean	F01
19.0027	2.0	contempt	female	NorthEuropean	F01
26.0127	2.0	neutral	female	NorthEuropean	F01
33.0137	2.0	pride	female	NorthEuropean	F04
40.0147	2.0	joy	female	Mediterranean	F09
47.0157	2.0	pride	female	Mediterranean	F09
54.0167	2.0	contempt	female	NorthEuropean	F01
61.0177	2.0	anger	female	Mediterranean	F06
68.0187	2.0	anger	female	Mediterranean	F09
75.0197	2.0	pride	female	NorthEuropean	F01
82.0207	2.0	neutral	female	NorthEuropean	F02
89.0217	2.0	joy	female	NorthEuropean	F03
96.0227	2.0	neutral	female	NorthEuropean	F04
103.0237	2.0	contempt	female	Mediterranean	F09
110.0247	2.0	anger	female	NorthEuropean	F03
117.0257	2.0	anger	female	NorthEuropean	F04
124.0267	2.0	pride	female	NorthEuropean	F02
131.0277	2.0	neutral	female	Mediterranean	F09
138.0287	2.0	contempt	female	NorthEuropean	F03
145.0297	2.0	anger	female	NorthEuropean	F02
152.0307	2.0	contempt	female	NorthEuropean	F04
159.0317	2.0	contempt	female	Mediterranean	F06
166.0327	2.0	joy	female	Mediterranean	F06
173.0337	2.0	pride	female	NorthEuropean	F03
180.0347	2.0	joy	female	NorthEuropean	F04
187.0357	2.0	contempt	female	NorthEuropean	F02
194.0367	2.0	neutral	female	Mediterranean	F06
201.0377	2.0	joy	female	NorthEuropean	F01
208.0387	2.0	anger	female	NorthEuropean	F01
215.0397	2.0	pride	female	Mediterranean	F06
222.0407	2.0	joy	female	NorthEuropean	F02
229.0417	2.0	neutral	female	NorthEuropean	F03
